0026 fff1 ffc6 fff8
0021 0012 ffd2 0028
0011 fff8 ffbe ffc8
fffe 0001 000e 0008
ffd8 001e fffb 002b
fffc 000c fff3 ffd3
fff8 ffd6 000e ffe3
fff4 fffc ffd6 0004
fff8 fff5 0000 fff5
0014 ffe3 fffb fff5
0002 fffb 000b 0034
fff2 fff7 0022 ffce
0004 0005 fff4 fff9
ffef fff7 0003 0020
0030 ffff 0009 fffb
fff0 0016 0021 ffed
000b 0017 0040 fff7
0019 ffc9 fffa ffdf
ffce ffeb fff8 ffe4
ffec 000e fff3 ffe6
ffeb 0005 ffd0 ffe8
fffa fff4 fff3 0002
001b ffe2 fff1 0001
0007 ffe2 ffe8 ffd0

000f 002d 000e fffd
fff3 0005 000a fff1
002d ffe3 001d 001d
0005 000c ffe4 0025
000c 0017 fff6 000a
0000 ffd2 0003 000d
fff4 fff0 0009 0002
0001 fff8 ffd5 000f
0011 0014 fff7 fffc
0005 ffdb 0008 fff4
0000 001e ffea 0007
ffed fff5 0008 000c
000f 000d 0020 000a
0006 fff2 0012 0019
fffc 0007 0013 0005
ffee fffd ffe2 000c
ffff 0029 002f ffe6
fff0 000b fffe fff0
fff6 0004 ffe8 ffe7
0001 000e 001d 0006
0009 0016 0001 fff5
0005 fff8 0002 0011
fff1 0006 000f 0028
fffe ffff 000b 0010

ffe3 ffe3 fff3 fff9
ffea 0012 ffe3 0012
001d 000e fff8 fff2
ff8c 000b ffd8 ffff
002d fff8 0003 0016
0002 0005 fffe 0004
0012 fffb ffd5 ffff
00a4 0007 ffe2 000c
fffc ffef fff3 000e
0025 ffef ffd5 0016
fff1 ffff 000d 0003
fff7 fff5 fffa ffff
001f 0002 0002 001c
ffd8 0011 0017 0009
ffef 0013 0014 0012
002b ffff 0010 fff0
000f fff3 001f fff3
0006 000b 000b fff9
0020 001d fffe 0019
ffde fff2 fffd fff2
000f 0008 fffb 000b
000e fff5 fffb 000d
0001 0003 ffff 0013
001f 0012 0013 0003

fff4 fff4 0004 fffd
0014 fff4 fffc 001a
0002 0018 fffa 0001
0001 0027 0003 fff7
ffac 0015 000d fffa
0015 0006 fff3 0002
ffd5 001a 000d 000a
ffa4 000c ffe4 ffe0
fff7 0006 fff8 002a
0012 fff3 000e ffea
002f ffe9 0003 ffe1
ffdd 0014 fff5 ffec
ffdc 000d fffb 0008
001c 0000 ffff ffee
0003 0000 ffd4 fffc
0023 0007 0009 0004
000b 0018 ffee 0009
0037 fff6 0008 fff5
ffea 001e 0010 ffff
fff2 fff2 fffc fffa
ffcd 001c 000a 0002
