f2 f4 0a 21
3f ed 15 fd
34 fe f2 1d
d2 e8 12 13
ea 01 27 e7
f8 04 09 ff
e8 0d 1c 12
e9 ef 02 12
0b e5 17 de
f5 04 03 1a
ee fe ea e1
e2 1e e9 31
03 f1 ed 07
12 03 e2 04
ef fe 04 fe
f8 04 22 0d
09 cf f5 04
1b eb 09 11
ff ea 02 e8
1c 03 f3 fc
fc eb fc 03
ed 1f 13 dd
e4 23 e4 28
df 16 04 d4
f6 f2 e4 da
2f 05 f3 f7
10 df 09 f5
08 dd 03 37
2a d4 ea 09
0a 10 06 0b
03 fc f8 e7
f6 ec 06 14
04 0e d6 0a
17 37 05 0d
ca 17 28 fd
f8 09 fd e3
2b f5 d5 ed
0b 0e 17 d6
0b 1e 48 10
ec f7 f7 f4
13 0b f4 2b
df dc 08 07
bb e9 f4 0c
0e 01 dd 29
2d f7 1d 05
ea 24 c5 22
12 23 13 fc
fe 0a ea ee
