e6 ce 01 1c
e1 e7 e6 06
09 0a f3 07
d6 c1 04 0c
f3 ff 10 fb
e2 01 21 e8
c7 fa f4 e2
08 12 0d 16
2b 00 f2 35
e8 de 25 ff
f2 e1 c6 fb
fc d1 d8 fc
b0 ed 18 09
e3 f0 05 ed
ee e7 dc ed
db 1c f0 f1
c9 fc e7 01
d4 f0 fa da
ed 0c ef f9
eb 03 e9 f0
f7 06 f5 02
d6 ef 17 1a
f9 eb f9 0b
0d e2 11 f2
e5 2f e5 0b
1e fb 1a 00
24 02 2c 36
16 0d f7 d7
f8 12 12 2b
01 da f9 fb
fa d7 17 0f
0e 00 da 18
ee 00 2b 27
0e e6 f6 08
0c ef f3 e9
f1 fc 0f f4
10 22 28 2c
0d fd 07 eb
b2 e0 ed f7
07 d5 eb 0c
32 32 17 fd
10 f8 fc 13
08 11 fa 00
f6 dc 02 f0
dd fa f9 18
f6 d6 eb f0
0b c9 dd f5
3d c1 27 19
