0028 001e 003a 0010
fff1 0001 fffe 0007
ffcc ffe5 ffde 0000
ffc7 ffe0 002f 0024
ffeb fffc ffe9 ffed
ffde ffff 0014 fffa
ffe7 fff6 fff6 0012
fff4 0010 ffff 0006
fff8 ffff ffee 0023
0007 fff0 0013 ffe9
fff0 ffeb ffee 0005
ffeb fffa ffe9 002a
002f 000c 0023 000d
0002 fff2 ffdd 002d
0024 fff4 ffe6 001f
ffd2 ffde 0017 fff4
003a ffe3 000d ffe7
0004 fff9 ffdc ffea
001b fff3 0001 ffdd
002a fff8 000b fffc
001e ffcb 0016 003f
0012 fffb 001b fff1
0010 ffd6 ffd7 001f
0013 ffe4 0000 ffe7
0031 001d ffbd 0007
0016 ffdb fff0 ffc9
ffdb ffcb 0001 fff9
fff7 0024 fff5 0005
0007 fffd fff1 ffd5
fff2 0037 ffb8 fff2
0005 0007 002e 0007
0042 fff5 ffc5 001f
ffae ffff 000b ffe9
ffe4 fff6 0019 fff3
ffea fff1 fffc 0017
0026 000b ffe8 000a
000e 0002 ffe0 ffd3
002a fff9 ffe9 0028
000a 0009 000a 0044
001e fffc fff5 000c
fff0 0012 ffe6 ffe8
007f ffe1 ffb5 0000
0001 0018 fff4 002d
0000 ffdf ffe2 ffef
ffea ffcc 001b fff4
ffea ffcf ffd9 fffc
ffd8 fffb 0015 000f
ffde ffef 001b 000b
