ffe5 fff7 fffd 0016
002b ffe8 fffb ffd7
fff9 ffdf 0000 fffb
ffe8 ffef 000b 0013
ffde fffa 001c fffc
0021 0004 fff2 000e
fff7 fff9 ffe2 0019
0012 0006 ffe0 fffe
002a 0019 ffe8 ffdb
0006 0010 ffeb 000d
001b fff1 fff7 fffe
fff7 0010 ffe9 000c
0016 002f ffed ffd1
0024 ffe8 ffe5 fff6
fff7 ffdb 001e 0011
0001 ffe9 000e fffb
0008 ffe9 0013 001a
0008 fff3 0007 ffc3
ffd4 fffd ffe7 0015
ffd9 0024 000f ffe8
ffd7 fffa 0012 fffb
fffb 0018 ffed 002d
0005 000f 0007 fffc
000b 0004 000c ffd8
001c fffd 0017 ffeb
0027 fffe fffb ffea
0009 ffe7 ffeb fffc
000c 0019 0021 0002
fff9 fffd fff4 ffed
ffdf fff2 fff1 ffeb
fff6 ffe8 fff7 0019
0005 fff5 fff8 ffe9
0026 0011 0024 0002
000a 0024 002b ffd0
0035 0014 0030 fff9
0002 ffdf ffe1 ffda
fff5 fffa ffe8 0009
fffa 0007 fffa fff7
fffd ffed 001e fffa
ffdc ffe3 ffe0 fff9
0024 0011 ffcd 0015
0010 ffe9 0010 001c
ffd3 fff1 fff9 ffee
ffdd 0024 0003 fffe
ffb4 0019 0000 ffec
ffd5 fffa ffed ffcc
0036 0009 fffb fffa
ffe7 0002 0000 000d
