ffc9 ffde fff8 fff2
fff3 ffd4 fff3 ffef
ffc7 0009 fff4 fffa
ffe0 fff3 0005 0011
0037 0028 0009 0009
fff9 ffed ffe3 ffdc
0010 ffed 0020 000b
ffe8 0001 0021 fff0
0003 0004 ffe5 002c
000e ffd7 000e 001f
0013 ffe2 fff6 0028
fff3 0001 0000 ffea
ffde fff7 fff3 fffd
0020 fff1 000e 0001
ffcf 0002 ffe9 0007
ffcf 003d ffe6 0001
ffe1 0002 fff7 ffe5
ffe9 0046 0034 ffd3
ffe1 ffe5 0011 fffe
ffff 0014 0016 ffdf
ffb1 ffda ffcf fffd
0003 0019 000e ffef
0013 0005 fff3 fff6
ffec 0013 fff3 ffe9
002e 001c fff3 0003
ffed ffd2 0018 ffed
ffc3 0000 000d 0009
ffe9 ffe3 fff0 003b
0028 fff7 0006 000e
ffee ffeb ffec ffe1
0003 ffeb 000f ffed
0007 0026 000e 0013
ffce ffea 0024 ffe8
ffee ffea ffce ffec
0017 0013 0017 fffd
fff3 0028 ffc5 0017
0002 0013 0036 0034
fff0 ffe6 ffe5 0004
000b ffe9 ffdd 0000
ffd2 fff9 ffe5 ffdb
002d 0005 ffd0 fffd
0000 ffff 0000 fffb
fff7 fff1 ffc6 fff4
ffda 0010 000d 0005
fff1 fff8 fffe 002b
000a ffef fffb ffef
0033 0000 0022 fffe
ffed 000c fffd 0006
