fff1 0001 ffdc ffe5
fffc fff9 ffe2 fffe
ffe6 ffe0 fffa 000f
0014 fff0 fff9 002e
0010 0005 ffcf ffd9
0022 ffdb fff1 ffdf
0004 0005 fff2 ffe4
0008 ffde 000a ffed
0023 ffe0 ffd6 0005
ffed ffee fff4 0000
0029 ffd6 fff9 001a
0009 ffc8 000c 0007
ffff 0002 0034 0003
ffec 0008 fffd 0006
ffdf 0004 003c 0004
0007 fff9 fff8 fffe
fff6 ffe6 ffe8 0018
0020 000a 0010 000d
ffef 0006 0009 0001
fffb 001c ffb6 ffec
0001 ffec ffe4 ffce
ffd2 0002 fffc 0012
000a 0012 ffed 002b
0007 0004 ffe7 ffeb
ffce 0008 fff6 000f
0020 ffdf fffc 002e
0010 001c 000e ffd9
0005 0011 fff5 0010
0051 0004 000c 0002
0002 0006 fff5 fff1
0016 ffff 0022 0010
ffee 0019 fff4 0002
fffb fff9 0034 ffe4
ffe8 fffa fff2 ffe0
002b ffe0 0010 ffca
ffde 0005 0018 0003
0005 fff1 fffb 0027
fff8 ffee fffa 0011
002d ffed ffe5 fff4
0008 fff9 000a fff9
fff5 0003 0007 ffe1
fff6 fff8 fffe ffed
001d 0000 0013 000b
ffe6 0003 fff8 0010
ffd5 0016 0004 fff4
0014 fff0 0019 0012
0014 fffd 0008 0003
0008 0011 000f fff4
