ffe5 0002 001a 002b
000c fff0 0017 0004
001d ffdf 001f 000c
ffd9 fff9 001f 0018
0033 0014 001c fff4
fffb 0005 0015 fff9
fff0 fffb 0007 ffdd
001a 0025 0009 003e
000d fffb 0002 0016
fffe 0019 0007 0025
fffa fffe fff5 fff6
0000 0007 ffe1 fffc
ffe2 ffec 0018 0005
ffe9 001c 000c 0000
fffc fff6 ffff 000f
fffa 000b 0003 ffeb
fff9 ffd6 fff4 ffe7
0033 0025 fffc fffb
ffde ffe8 ffd5 ffe9
0018 0033 000e ffd5
0030 ffe4 ffea ffd1
0004 0008 002e ffdc
0019 0033 ffe6 0007
000f 000b ffeb 0019
0016 ffe5 000f 0007
ffeb 001f fff6 ffe9
0007 ffe3 ffe6 fff3
0021 000e 0017 ffec
0016 ffe2 ffe5 fff2
000c ffe2 0012 0028
0037 fff1 ffc2 0010
0015 ffe8 0009 0005
000d 0022 0009 ffdc
fff4 0004 000c 001a
000a fffc ffde 0017
fff9 fffd ffd9 ffe9
ffda ffe1 fff2 0007
fffb 002e ffee 0000
ffc9 0007 0001 ffdb
0007 fff8 000e 0022
fffd fff0 0013 fff8
fff6 ffff 0023 fff3
fffb ffd9 ffc3 ffef
0026 fff1 fffc fff3
001b 000c ffed fff0
ffc6 0007 ffee fff2
fff7 000b 0014 fff4
ffeb 0009 0010 0009
