0027 0021 0035 ffed
002a 000d 0018 0020
fff7 fffa fff4 0015
0040 ffcd 0029 fffd
ffe8 0006 ffec ffee
0019 0009 fffd 000b
0019 0016 fff2 ffff
ffe0 ffc4 fff0 fff1
0020 ffec fffd fff5
ffcc ffdf 0014 0006
ffde ffd5 fff2 ffe6
ffdc 0033 fff9 0016
0009 ffb7 0000 001a
fff4 fff8 ffeb 0004
fff9 fff0 0005 0008
ffe7 000c 0019 ffe5
0012 ffbd ffeb 0005
0014 fff3 fff6 0002
001b ffd3 fff6 ffee
0002 fff2 fff6 000b
ffff fffa fff5 0000
0004 001e 0012 000d
0015 fff7 0002 0017
0026 ffe8 0023 ffe1
fff8 0004 ffee 0010
001c fff9 000b fff5
ffe4 fffc 0009 0023
000e 000b fff5 ffe5
ffe1 0006 000f 0014
fffd 000f 000c 001d
ffe1 fff6 fff4 000b
0001 000c 0008 0000
0008 fff4 ffd2 000b
001f fffb 0001 ffd2
ffed 000a fff9 fff0
ffdd 000f fff1 ffe5
0079 ffe1 0000 ffe9
fff1 ffdd fffb fff2
0006 000d 0011 fff6
ffca fff3 ffe5 001f
fff3 0005 fff7 fff3
fffa fffe 000e ffce
ffe1 fff0 fff1 ffe4
ffeb 0005 fff2 000c
fff8 0019 ffe7 0004
0024 0000 0001 fff3
001e ffef 000b 0007
0005 002c 0029 fff4
