001f ffe1 ffe5 0005
0011 ffe3 000c ffec
ffe6 003b ffe1 0028
fffa fff6 fffb ffe9
fff0 ffe5 0003 ffd0
0014 ffec 000d ffdc
0007 ffdb fff2 001e
0003 0007 ffe2 ffe6
fff7 ffe2 ffd6 0008
0017 002b ffef fff5
ffec ffdd fff6 0026
ffe0 fff1 ffd1 ffe4
0010 002a ffea ffd2
0001 fff2 fff5 fff7
fffd ffe3 0000 fff3
ffdd 0029 fffb fffc
0008 ffee fff3 0014
000c fffd fff5 000b
ffe2 003e fff5 fff0
000b 0008 001e 0003
fffe 001a ffd7 fff4
ffef 000b 000d 0007
0018 ffdd 000b ffe0
fffe fff4 0011 0021

fff3 000e 000c 0016
ffe7 ffe3 fff0 000b
001d 0002 0010 0006
002d fffb ffff ffff
000c 0001 ffe4 ffee
fff2 000c ffe2 fffa
0019 000d ffdf 0012
ffcb fffa fff8 001a
fffe fff4 ffe9 0002
ffef fff8 0025 000f
0004 fff4 0016 0013
0009 0025 fff2 001b
0025 000f fff9 0013
fff3 0005 fffa 000a
0042 fffc 0012 ffff
0006 000a ffed fffd
0007 0006 fff9 fff9
0006 0007 0011 0007
000a 0004 0011 ffee
0025 ffec 0027 000b
fff1 ffe2 000e 0007
fff2 0005 ffdc fff2
ffbf ffef 0004 000f
fff7 0000 0002 000b

0000 0010 000c 0007
0023 0008 ffd7 fff0
000c 0000 0004 ffd5
0022 ffed 0006 000d
0003 000e ffe8 0000
001a 000e ffe5 ffec
000a 000a ffeb fffa
0003 0022 0024 fffb
fffa ffe7 fffa ffe4
0025 0008 fffb 002a
ffee 0010 0029 ffef
0006 ffff 0006 0008
001c fff0 fff5 ffec
0001 ffff 000b 0015
0000 0006 fffd fff3
ffdc 0003 ffe0 000c
0015 0014 fff7 ffe9
000a fff9 ffd9 000a
000d 0006 0020 0012
0010 ffed fffa fff0
fff8 fff6 ffff 000b
fff2 0006 fffa fffb
0015 0003 000b ffec
fff5 001c fffa ffee

0011 ffef ffed ffe8
fff3 000f 0004 fffb
fff5 fffd fff7 002a
fffd fff6 fff8 ffe2
0003 ffe9 0009 000d
fffc fff1 fff7 0009
0006 fff1 ffff 000c
ffff ffff fffe ffe1
fff6 fffb 0000 ffe6
fff3 0018 0000 ffef
ffdc 0002 0000 fffe
fffc ffe2 ffed 0010
0005 ffea ffec fff2
0016 fff6 fff2 ffeb
fff8 0000 0013 fffd
000b 0020 ffde ffef
0003 fff7 fffb 000c
0008 ffe3 fff7 0008
fff3 ffed 0008 ffe0
002c 0005 0005 fffa
ffe7 fff6 fff3 fffc
ffe4 ffef 000d fff9
0002 000c fffa ffeb
ffea fff6 fff9 0018


ffdb ff4b ffe6 0000
ffcc fe4d ff5b 0000
ffdc ff33 ffdc 0000

0051 ffa4 ffa0 0000
004d fee0 ff3a 0000
0056 ff83 ff90 0000

004c 000f ffaf 0000
0106 ffc6 ff2e 0000
004f 0013 ffab 0000

ffa7 ff9c ff86 0000
ffba ffcc ff88 0000
ffa1 ff94 ff8a 0000


ffeb fffd 0004 fffd
0000 fffa 001a fff0
fffd 0000 fff2 000e
fffc fff1 0003 fff9
0005 0007 ffd2 0048
000f 0000 fffb 0004
0008 0006 0016 fff6
fffa fffb fff0 ffe2
fffc 0014 0006 ffff
0003 fffd fffc fff7
ffdd fff9 0008 ffeb
fff1 0000 0006 0000
ffff fff8 fffa ffe3
fffc fff4 000a fffc
ffff 0004 fffc 0001
0005 000e ffd7 fff2
0006 fffc fff9 fff7
0013 ffff 000e 000a
fffa 0022 0019 0010
0009 fffb 0006 0006
0007 0010 0001 001c
001a 0003 fffe 0001
0017 fffd 0009 0002
0001 0034 fffb fff9

0002 fffc 000e ffd7
0003 fff1 0003 0021
ffd5 fff3 fffa ffe3
0011 fff4 0016 0002
0000 fffd 0004 0003
fffa fff3 000e ffed
fff3 fff1 0018 0015
ffee ffea 0019 ffde
0018 0004 0000 0005
fffc fff8 0006 000e
000e 0007 0006 001a
000a ffff fff9 ffff
fff4 ffee 000d 0007
fffa fff2 fff5 ffeb
fffd fffb 000d fff8
ffeb fff6 fff3 ffec
fff3 fff8 0002 0003
ffff 0018 0005 fffb
0012 fffb 0009 0006
ffee 0005 ffef 0006
0019 0019 0001 0002
fffa 0005 0003 fff5
0000 ffe5 0016 0001
ffe5 ffe8 0005 0002

fff9 0007 0004 ffef
ffe0 fff0 0003 fff6
fff2 0009 000c 0012
fffa 000d ffec fff4
0001 0010 0025 0000
000a 0022 0005 ffed
0011 ffe5 0006 0001
000b ffed ffd7 ffe6
000e fffd fff7 0010
ffff ffe9 000c 0005
ffe8 fff9 fffd 0000
0010 ffeb 0003 ffd9
0017 0027 001f 0021
0021 0015 000a ffff
ffef 0006 ffed fffc
0008 0007 fffe 0025
ffec fffc fffc 000b
0008 0025 0011 0015
0008 fffe fff9 0007
000e ffdf 0016 0006
001a 0016 fff4 0017
0002 fff8 0016 0009
fff9 005b fff1 0014
0000 fffc fffc 0002

0008 0025 ffdd 0003
0027 000c 0063 001f
fffd 001d 0016 0012
0021 ffd5 ffcc ffab
0070 ffe8 ffdf ffeb
fff9 fffd 001d 0016
ffc7 0031 002f 0039
fff4 0053 ffdf 000d
ffcb fff0 0009 ffe8
0026 ffb9 ffb2 0017
ffa1 002a ffe7 001a
0031 0037 ffe8 0045
ffce ffe8 0021 ffdb
ffca 0000 ffe2 001e
ffb3 0000 0016 001a
fff3 0005 003f ffdd
0029 ffea 0008 fff6
ffe7 0017 ffdc ffbd
0019 ffb4 0054 0020
0004 ffad ff96 0024
