002c 0008 0009 001b
fffd 0028 0001 0004
fff4 fff8 fffd fff0
fff7 000c 001f fff9
0015 fffb 000b ffee
ffe1 0001 0013 0020
0005 0017 0003 ffe4
0000 fff3 0014 fffb
ffe9 002c fff4 ffff
ffeb ffed 0001 ffeb
fffa fff8 ffeb fff3
ffb9 ffb5 ffed 000f
ffad 000b 0014 0023
0007 ffff 001b ffe1
ffee ffff fff7 ffff
001b fff1 0008 ffd4
0012 0006 fffd ffcf
ffe3 0002 0002 0012
fff7 ffd8 ffed 0015
fffe ffe8 ffed 0026
ffd6 fff9 fff6 0015
ffff fff5 fff8 ffe1
000a 002d 001b ffd8
0029 ffff 0018 ffe6

ffea 000b fffe fff9
ffcf ffff 0010 0018
ffaf fffc 0005 0005
005d 001d fffc 0006
fffd 0007 0010 0020
fff4 fff3 fffd 0016
fff6 fff6 fff7 001c
ffea 0006 fffb 0024
ffda fffb ffef fffc
fffb 0010 fffc ffca
0012 0025 fff7 0002
ffad ff5f ffff 001e
0036 0000 fffc 002a
ffeb 0005 0005 ffd6
fff4 ffed 001f ffee
ffcb ffcd 0011 0008
0010 fffc fff7 ffbd
000a 0002 ffe8 000e
ffff fffb 0000 0007
fff2 000d ffef 001f
ffda ffd7 000d 0021
ffe0 000b 000d fff1
0000 fffd 0007 fff4
000b fffb 0009 001e

001a 0011 0003 ffeb
0006 0002 0009 0009
fffa 003d fffc fff5
ffe9 0001 ffed 000c
fffd 0001 0007 ffde
0001 0010 ffe9 0004
fff5 fff3 000e 004e
ffdf ffdd 000e ffe5
0033 0011 0006 ffdf
000b fff0 000e ffd9
ffef 0024 fff6 ffd8
0008 ffe2 ffef 0016
0042 fffc 0019 0011
fff0 0000 fffa ffc3
fff8 0002 000e ffd1
001e 0016 0000 0025
0017 ffec ffda fff6
ffc2 fff0 000e 0023
000f 0001 ffd9 fff2
fff8 0004 0002 0023
ffe0 ffd0 0002 001c
0019 fff8 fff9 ffe3
ffee 0011 001a ffc4
0002 fff7 000c 0027

fffa ffe3 0005 0011
ffe0 0000 ffef 0009
0008 fffc ffeb 0008
0004 fffc 000f 000a
0005 fffa 0001 0008
0001 fffc ffec 0008
ffff fffc fff6 0003
0003 fff2 ffff 0005
0001 0008 fff3 fff6
0007 fffe fff1 fff8
0016 fffe 0002 ffd5
0005 0002 0007 0010
0001 0005 0002 0014
0010 ffbb 000e fff1
0010 0021 fffa 0008
000a 0000 ffec 0001
0003 0001 ffec 0008
fffa 0011 ffff ffff
0004 ffe6 fff4 0000
0004 0002 fff7 0013
fffb ffe8 0015 0018
0013 fff8 fffd 0017
0007 0005 fff9 fff4
fff8 0024 001e 0005


ffc1 ff89 ffb1 0000
ff78 fef8 ff44 0000
ffa2 ff37 ff6d 0000

ffb1 ff77 ffa5 0000
ff66 fec0 ff16 0000
ff99 ff18 ff50 0000

0046 0079 0053 0000
008e 0103 00ba 0000
0067 00c8 0090 0000

ff78 ffc7 0073 0000
feb7 ffc6 014c 0000
ff0f ffc8 00f5 0000


ffed fffa fffb 0008
0008 0005 0008 fff2
000e 001a ffff 0001
ffed 0015 000a ffec
0020 fffa fff6 000f
000c fffb 0001 fffc
fff2 fff0 fffa 0014
0004 0002 0008 0000
0004 fff1 0001 ffee
ffe7 0015 fff4 fffb
0002 ffe2 ffef 000d
fff9 000c 0002 ffeb
0000 0013 fff7 fff9
000e 0009 000b 0004
0012 0004 0005 0006
001b 0004 fff3 fff7
fff0 0022 0004 ffd5
fff3 0003 0006 fff8
fffe fffb fffd 0008
0005 0000 ffec ffe6
000b fff2 0002 fff8
0004 0008 ffff ffe8
fff2 001b 0006 fff3
000b 0008 0015 fff8

fff0 0023 0013 0007
fff8 fff1 0005 0014
fff1 002c 0000 001a
fff5 0005 000e 0003
000e 001f ffeb ffff
0008 ffdf fffe 0023
0025 fffb fff3 ffe5
fff1 000d 000c 0019
ffe0 ffe5 fff6 fffd
ffff 0007 001e fff4
fff2 fff1 0000 0023
000c 000b ffeb 0004
0000 0007 ffe6 fff4
0010 0015 0005 0017
fffb 0004 fff1 ffe0
fff2 ffeb 0010 0014
000d ffed fff5 ffeb
0001 fffe 002d 0020
001a 0010 fffc 0006
000f 0004 fff2 0015
000d 000b ffe3 ffea
0010 0002 fffd 0004
fffa ffdf 000d fff5
fff1 ffdf 0007 000e

ffe0 fff0 fffc 0005
fff1 fff1 fffc 0007
0004 0005 fffd 0015
fffa fff3 0017 fff8
fff7 ffef ffff 0003
ffe8 fff5 ffef 000e
000d ffe9 0006 0000
0019 fff7 0000 ffe9
0002 001f fffc 002c
fffd 000b 0001 0005
0003 ffef 0006 0001
000c ffea 0016 0003
0000 fff2 fffd 000a
001a 000d 0014 000e
fff1 0009 ffea ffe6
0012 000c 0005 fffd
fffd 0000 0009 0002
fff5 0020 ffff 0000
0003 fffe 0001 0002
0011 0015 0002 fffd
000a 000d ffeb fff6
fffd 0002 0010 fff0
000e 000c 0029 fff1
fff3 0007 ffe9 ffdb

ffd1 fffc 0017 fffd
fffc 0010 0000 0001
000c 0013 fff0 fffb
fff8 0016 0000 0004
0014 0013 ffe8 000e
ffe5 0010 0003 ffeb
fff9 0016 0018 0012
ffd7 0006 0002 fffa
fff3 0000 0007 000b
000a 0000 0007 ffef
0003 ffc3 fff4 0001
ffe9 008a fffa fffb
0000 001f 000d ffe6
fffb ffe5 000b 0016
0001 fffc 0001 ffbe
0002 ffff ffe0 002d
fff5 fff1 fff8 ffc0
ffb7 0005 0011 000f
0008 ffed 0004 0002
0005 000a fffd fffa
fff7 ffea fffd 000d
fff7 0013 0007 0012
ffff 0005 fff9 0002
fff6 001b 0006 000c
