ffe0 fff4 0023 fff0
ffec ffdd ffea 0008
fff7 0003 fff9 fffd
fff3 fff8 0004 ffeb
fffb ffdf fff5 0010
0018 fffc fff8 0015
fff6 000b 0008 0041
ffe1 ffe6 fff0 ffe1
002b 0025 0017 0019
0006 fff9 ffcf 0003
0014 fff5 fff6 0005
fffb 0004 fffb 000d
0017 0020 ffd3 ffd9
ffee 000d fff0 ffeb
0006 ffff fffd ffe4
0001 0024 ffdd fffb
fff2 000c fff2 0023
0007 000d ffe3 ffdb
0003 000c ffef ffc8
ffea 0003 0008 ffd5
fffc 0006 000a 0009
0010 ffe6 fff9 0017
fffe ffe5 fff2 fff7
0035 ffff 002c 000b

fff8 0002 fff2 ffff
0008 0015 fffa 001d
0027 0003 fff4 0058
fff4 ffef 0027 ffe6
000f 0008 0024 0034
fff1 ffff fffa 001a
001c 0023 ffee fff7
0013 0019 fffc ffe7
ffdc fffd 000b 0007
fff5 ffe5 ffe8 0003
ffe2 0009 fff2 ffef
ffff fff8 fff7 000d
000b 0018 ffec fff7
0008 fff3 000d 0005
ffea 000d ffd6 0017
000e ffe8 ffe9 fff0
0011 0033 001d 000e
fff2 fff1 0001 ffe7
0002 0011 000d fff3
0006 0013 fff0 0001
fff3 ffde 0010 ffd3
0005 ffbc fffe 0029
0019 ffd7 0003 ffbe
000d 0009 ffe7 ffe1

0023 ffec 0026 ffdf
fff4 ffce 0004 0004
000d 0013 fff2 000d
ffed 0003 000d fffa
0003 ffcf 000c 0028
000e ffe8 0003 0016
0003 0028 fffa 002e
fffb ffdb 000b ffef
001e 0004 0002 ffd9
ffd7 001c ffe7 ffd5
0044 0002 0011 ffe2
ffe3 ffe7 fff9 001f
ffef 0021 fff0 0006
fff6 000f 001c 0003
0006 0034 ffea 001d
0000 0017 fff5 000f
000e 0002 fff1 ffe7
0017 0009 fffa fff5
ffc7 ffec 000b fffd
ffbd 000f fffb ffd8
000f fff3 fffe ffee
0002 0015 ffea 0016
000e fffc 0007 001d
ffea 0000 ffee fffa

0047 000b 0000 000f
002a 0006 fff0 0010
0024 ffef fff4 0010
000e ffea ffcb ffe0
000d fff7 fff7 001f
001b 0015 ffe7 ffeb
002b 0008 fffd 000a
000e fff0 ffe0 000a
ffe3 ffcb 0035 fff3
fffa ffe9 0014 0039
ffe6 ffe9 ffe1 0009
0006 0013 0003 0013
000d ffff ffda ffe9
fff9 ffe6 ffe2 fff9
0006 fffa fffe 0017
ffe5 0006 002b ffd5
0009 0011 fff5 fff0
fff7 0010 ffe0 ffd9
0026 0028 0012 0011
fffa fff0 0020 0002
ffff ffdd 000e fffa
001c fff9 fffb 0013
ffec fffe 0001 0005
ffd4 0013 0005 0013


ffcb fffd 009a 0000
ff29 fe5c 00c1 0000
ffca 0000 00a0 0000

000f fff2 ff41 0000
0042 0104 feab 0000
0004 ffec ff4d 0000

ffc2 ff60 ffe3 0000
fff4 ff73 ff68 0000
ffc0 ff60 ffe7 0000

ff95 ff9d ffd7 0000
fec3 0277 005a 0000
ff93 ff99 ffe2 0000


0005 0028 ffc1 ffe4
0021 ffd3 fff3 ffe4
000c 000b ffe5 ffff
0005 0003 ffec 0001
ffed ffdf ffef 0008
000e 001d 001f ffff
fff8 ffe2 001d fff9
0009 000c 0007 fff2
fffe 0010 002b 000f
0010 000b fffc 0006
fffd 0008 0012 fffa
0015 ffd0 ffe4 fffb
0012 fffe 000c 000e
fff4 0016 ffe3 ffd3
fff0 0007 ffe9 0028
fff1 ffe2 0014 0014
000a ffe0 0004 0009
0008 0011 ffef 001d
000f 000f 0012 0000
fff6 0011 001f ffec
ffe9 ffd5 0008 0027
