fff1 ffce ffed ffeb
ffe3 0029 fffa fffe
ffef fff0 fffc 001b
fff2 ffe1 fffd 0015
0004 ffc4 0004 fff2
0000 0022 0006 0005
ffc9 0013 fff9 fff0
000c 0001 ffe2 0000
0006 001e fff2 0025
fff2 fff8 0033 ffff
ffe4 fff2 ffe4 0017
ffee 0000 001a fff5
002d 0005 0009 0004
ffee 0008 fff2 ffe4
000c fff3 0023 ffec
ffef ffda ffe8 fffb
ffe4 ffe8 fffc fff3
ffe9 fff3 ffe8 000f
0022 0011 0008 0008
0004 0014 ffbd ffea
ffec fffe 0029 ffef
ffce ffe5 0002 000a
ffee 0002 0000 0015
0001 ffe0 0017 000b
fff2 ffed fff5 fff7
0006 0018 ffe5 000e
0008 0006 fff9 fff4
0011 0012 000e 000e
ffea 0001 0003 000a
fff4 0005 000d ffdd
ffe3 ffdf ffef fff8
0025 0022 fff6 000e
0024 0003 0001 ffee
ffe2 ffea 0006 ffee
ffeb fff9 ffd7 ffd7
0006 ffef 0008 ffe1
0009 ffee 000c fffa
0000 fffb fffb 0008
001a 000a fff9 fffa
ffe2 ffe3 0001 ffff
001e 0006 fff8 ffe5
fffd ffe2 fff1 ffe2
000f ffdb 0024 0016
ffd5 fff9 fff5 000b
ffd6 0005 fff4 0005
ffe9 0015 fff6 fff0
ffee fff0 fff0 0001
0020 ffed fff9 fff5
