ffd4 ffec 0022 0044
ffe0 000d 0026 0012
0029 fff4 0037 ffe7
0004 ffe4 ffe1 002c
0035 0001 0017 ffd9
001c 000b ffe3 fff4
0002 000d ffe1 ffe2
ffd5 0002 fffa 0020
0019 ffe5 ffc9 0011
0038 ffdf 0016 0029
0010 fffc fff8 fff8
0021 001c 0012 0012
fff4 fff8 fff8 001c
0034 0000 ffda fff9
fff9 ffee ffe9 ffe5
000f 0008 ffec ffd2
ffe9 ffe3 0010 ffe9
0012 ffda 0004 ffee
000e 0028 ffe2 000b
ffce 0004 001f ffcb
0015 0001 0011 0006
0000 fff9 0011 ffd8
fff4 002a ffcd 0023
000c 0015 ffff fffd
0036 0012 ffec fff9
0027 ffef 0034 ffca
fff3 0006 001b ffed
0000 0008 0023 ffe5
ffd3 0004 fff4 fffb
0045 0004 0027 ffe9
0014 fff7 0010 fffd
ffdf ffc2 ffd1 ffe6
ffc5 ffd8 ffef ffee
0039 ffdf 0019 ffce
0045 0012 ffe1 ffe2
0017 0030 ffbc fffc
0014 ffd4 0014 fff9
ffcd fff6 000a fff9
0015 fff6 0010 ffd8
fffc 0001 0030 0008
fff4 001f ffee fff0
001e ffea fffe ffee
ffdd ffe9 0012 0012
002b 0001 fff4 0005
0041 fffd 0015 0014
ffe7 000e 0009 ffca
0011 ffe3 fff8 ffcd
fff3 0003 0005 fff4
