ffed ffdc 0001 000e
0001 002b fff1 ffe7
fff8 fff2 fff2 001c
0008 fff9 fffc 0023
0015 ffea fffc ffeb
fff3 fffe 0008 ffdf
ffeb fff1 0018 ffe7
000e 000e fff8 ffdd
000c ffeb 0005 0003
ffff ffd0 fffa 0005
ffd7 ffed fff2 0021
001c ffd5 001a 0020
0016 ffe1 0017 fffc
0003 fff1 fff3 0017
fffa fffd ffeb ffef
0001 ffe7 fff1 ffdc
ffd5 fffa 0036 0004
001d fffc 0009 ffc9
ffde fff3 000d fffe
0007 ffe4 0007 ffe2
0026 ffe0 ffe2 fff5
0001 fff8 0028 0005
fff8 fff3 fff7 ffe2
fffe 0002 fff4 ffdc
fffc fff1 fff5 fff8
0008 0004 ffe9 001d
fffe 0009 000f ffdf
fffe 0034 ffe3 000f
0033 0027 0006 000b
fffa ffde 0003 0005
001c fff4 000e 002f
0011 fff9 fff8 001a
ffe0 002e 000a ffe5
fff0 fffd fff3 000a
0039 ffee fff5 fffa
ffd3 fff5 fffb ffe6
fff9 fff9 fffd 0027
001d ffdd ffe6 0001
0020 000c ffe2 0015
000b 0000 ffeb ffd6
0013 000a ffff 0013
0001 fffb 0026 ffca
001c 001e ffff 0011
fff8 ffdd 0004 ffd8
fffb 0017 0019 000d
ffec ffdb ffea ffd2
001b fff2 ffef 0001
000e 0015 ffee ffed
