ffdc 0003 ffec 000c
fff9 fff3 0004 fff5
ffd9 fff7 fff8 fffd
fffd 000e ffe6 0003
fff4 fffd fff2 fffb
000e fff1 fffe 0003
fff9 fff2 0013 fff1
ffef 0011 0000 ffdf
0009 000f 0005 0013
0021 ffe8 0015 fff7
fff0 0015 ffd9 0007
0009 000c ffea 000a
ffec ffe6 0010 fff1
fff0 0000 0006 ffe5
0018 0001 0004 0009
ffe5 ffff fffe ffef
fff0 0008 fffe fff4
ffef ffe9 0007 ffdf
ffd4 0004 0029 000b
0015 fffb fffc ffed
0010 fffa ffe3 fff7
fff5 0012 0004 0007
ffff ffe6 ffea 0014
0012 fff5 fff3 0010
fff0 000a 000f ffe9
0017 ffeb 0008 fff2
000e fff6 0007 0006
ffff 0011 ffef 0012
001e fff9 fff7 0017
ffe7 ffdf fff9 001a
0008 fffa fffd 0000
fff1 fffa 0011 000b
fff5 fff5 0014 0001
fff1 ffed 0004 002a
0000 ffd3 0012 0002
fff2 ffea fffc 0004
0011 0005 fff1 000f
fffb fffb 0003 ffdc
ffef 0008 fff0 fff4
0007 fff5 fff6 fffb
0018 0001 fff6 fff3
fffe ffda 0015 0013
001d 0012 ffe4 0021
fff7 000e 0000 fffa
fff8 fffe fff2 0003
fff1 000e ffe4 000a
0017 ffe9 0007 0009
0006 0008 000b 0000
