0018 ffc4 ffde ffe9
0012 ffec 001a fff2
ffe7 0019 ffe3 002a
ffc8 ffe5 0013 0003
0006 0010 0009 fffc
0026 ffda 0012 ffd3
ffcc 0004 fff0 002c
001d fff9 0006 0005
001d fff1 fff6 0044
fff1 ffe9 fff1 0009
fff1 ffd6 ffbe fffa
0026 0003 fffd fffe
ffe2 fffb ffe8 fffa
ffe6 fff8 ffea 0007
0004 ffd9 000e fff9
fff6 0007 ffeb 0011
0001 001f fff6 0010
fff6 0018 fffa ffe4
001b 0002 ffff 0028
0001 001b ffd3 fff5
0005 fff2 000b ffc9
ffc6 000d ffe1 0006
ffe9 000b fff5 fff3
fff6 fff7 0012 0010
ffce fffc ffe4 ffd2
0041 ffdf 0028 000d
0014 0032 ffe1 0031
0009 001f fffa fffe
000d ffe8 fff8 ffdc
fff7 fff6 fff1 0017
fff9 ffe9 0017 0003
ffda ffd6 ffd9 0010
0004 ffda ffe9 fff3
001b 0005 0008 fffa
001b 001c 0000 0004
fff1 ffee 0016 ffdd
0005 000a 0005 fffd
0022 0002 0019 fffa
ffdf ffee fff0 fffe
0026 ffe9 fff3 0007
fff8 001c 001b 0005
fff8 ffd1 ffec ffcf
0012 fffc fffe fff6
fff2 fff8 fffa fffb
ffd5 fff1 fffb fffc
ffe6 0021 0017 0013
fff5 ffe6 0002 ffd7
fffd ffdd 0002 ffcf
