fff9 001f 0013 ffd5
fffd ffee ffdc 0003
ffd2 fffc 0002 001c
fff4 fffb 0005 001b
0011 0009 ffe6 ffef
0008 0011 ffe8 000d
0053 000c 0049 fff1
fff6 000c fff2 0003
0001 ffec fffd 000e
ffd9 ffe8 0009 ffe4
ff94 fff4 fffb 001c
0018 0018 0004 ffe6
ffcb ffe5 000d 0021
000b 000f 0006 ffe9
0016 ffff 0012 000d
ffe5 0012 ffeb 0007
ffbc fff6 0009 fff8
0022 ffea fff3 ffec
fffe 0000 ffe9 ffe5
ffd4 0000 ffea ffee
ffe4 fff9 fff8 000f
000b 0009 0010 0006
0012 fff9 fff2 001b
fff3 000c fff7 fff1
002d ffea fff0 0002
fff5 0001 fffa 0015
001f 0002 fff3 001f
000b 002d fffd 003c
fffb 0006 ffee 0001
fff6 ffee ffed ffef
ffcc 002c ffe5 fff0
ffd9 fffe ffd0 003e
ffe7 ffe1 0001 0002
ffe7 0005 0004 000b
0004 ffda fff8 ffda
ffd6 ffed fffc ffe3
ffe2 ffe7 ffff ffff
ffff ffed 000c fff2
000b 0018 0019 000a
ffe6 ffec fff1 fffc
fff0 fff8 fff3 000a
0009 fff4 0004 000b
0009 ffef 0012 001b
fff3 ffeb ffe7 0012
ffec 001e 001f ffd0
ffc8 001e 0020 fffb
0005 fffe ffed 002f
ffdc fff3 ffeb 000d
