ffed ffe6 fff6 000f
fff5 fffc ffea fffa
ffd6 0003 000f 000a
fffc ffeb fffa 0007
000c fffb ffed fff9
001b 0003 0005 fff6
0013 fff6 ffec 0024
0015 fffb ffff 0021
fffb fff5 0005 fff4
0001 fff7 0012 002a
ffee fffa 0012 0001
0007 fff8 0014 0021
fffe ffec fff3 0009
ffe7 0019 0005 fff3
002d ffe9 000d 000a
0002 000b 0004 0003
ffd6 fff8 0019 0004
ffef 001b 0006 fff1
ffaf 000b ffe5 fffc
0001 fffa fff2 ffe4
fff5 ffc9 fff0 fffd
ffec ffdb 0018 0001
0029 001b fff3 fffc
002d fff6 0011 ffff
fffb fffc fffa fffe
0021 ffe7 0002 000a
fff4 0002 fffa fff0
fffa 0002 000f fff7
000b ffd4 0007 ffff
ffe0 fff3 0020 0019
001d 0012 001a 000e
ffff fff5 0001 fffd
ffc1 0004 001a 0004
ffe8 0005 0009 ffe4
ffff fff8 0002 fffe
ffe2 fff5 ffec 001c
ffea 0007 0011 fff7
ffe0 fff5 0007 0000
ffd7 000c 0024 0013
ffff fff9 0001 0004
002e 0022 000a fff7
fffd 0003 000f fff4
fffe fff2 fffe 000a
fffe fff5 fff1 ffff
fffa fff9 fff8 fff8
0014 0000 fff7 000d
0001 ffed 000d 0004
0012 fff6 0015 fff4
