ffe2 0009 0015 fffc
000a 004d fff3 fff1
0017 ffec fff9 001e
0008 ffdc 002a 000f
0014 0005 fff5 002d
fffc fff4 ffff ffea
0000 000a ffd3 ffe8
fffd fffc ffff fff8
000a ffe4 0016 fffe
ffee fffe ffdf 000b
fffc ffd2 0005 0007
ffb8 fff5 0003 0007
000a ffe3 ffd9 fff0
ffd5 0014 fffa ffe7
0000 ffe7 0002 ffe7
ffcb 0002 fffd fff6
001a 0000 ffdd fffe
fff6 0001 ffbb ffe5
0008 fffe 0011 002d
fff3 0011 fffb ffdb
fff3 ffde ffda 0010
0003 ffec ffd5 ffee
fffc ffe0 fffa 0032
0025 0005 0018 ffe0
fff8 0014 ffcb fff1
0023 000a 0026 fff0
0012 fff0 fffd fffd
000e fffb 001d 0008
0004 ffe2 ffda 0003
ffe4 0016 ffeb ffed
fff7 fffb 0005 002a
ffe5 ffec fff7 ffe9
ffd7 000d 000f 0004
fff5 fff3 0012 fffb
ffee fffd fff9 fffb
0032 0005 ffe9 fff8
0019 ffed fff3 ffe6
0025 0013 001b ffdd
0007 002c ffe8 fffb
fffa fffb ffe1 001b
000e ffe9 fff8 001b
001a fffa ffde 001a
0006 ffd6 0027 ffe3
0034 ffea ffeb 0019
ffcf fff7 0008 000c
ffe0 ffeb 001d ffdf
ffe5 ffea fff4 0006
ffe0 0006 0008 003a
