ffb9 0028 001e 0020
0008 0009 ffd0 fff3
001c ffe9 ffdd ffec
fff9 ffc8 0028 002d
ffc8 fff1 fff1 fffa
0007 0005 fff2 000f
000a fff2 ffec fffb
ffcd ffe6 ffe2 0014
0010 000a ffea fff3
ffbc 0011 002a 001e
0009 ffea ffd5 ffd8
0016 002f 002e 001e
002e ffe9 ffdf ffdb
fffb ffe7 ffda 0007
fff4 ffdf fff4 001d
0022 0010 ffff ffe2
ffe5 000a 001a fff1
0013 fffe 0022 ffc7
0018 001b fffc 000a
003b ffff 0025 ffd6
0027 fffc 0006 fff0
ffe5 0012 0002 fff4
ffe5 001d ffe8 0014
fff3 0006 000f ffdf
fffd 0006 ffe7 fff5
0060 0019 003d ffdb
fff3 fffc 0006 ffeb
0023 0023 0018 fff0
ffff 0004 0010 ffed
ffdc 0035 0026 ffd1
fff5 0017 0043 ffff
ffcf ffa5 ffed 0010
0029 0015 fff0 ffcf
0020 ffd2 fff8 ffd4
005b 0004 ffa8 0013
0026 000b fff0 0008
0017 0010 0005 ffd1
fff8 fff7 0041 fff2
fff6 0029 003c ffe8
ffa6 0012 005f 0008
ffdb 000e fff9 0003
ffda ffa7 0014 fff7
ffb2 0002 fff7 fff6
fff8 fff9 0002 ffed
0039 0033 000a 0004
ffc2 ffdb 0018 ffdc
0075 ffe9 fffd 0003
0008 fff5 001b ffee
