ffe0 0009 0017 fffb
0010 0001 0024 ffea
0010 ffe8 fffd fff3
0001 0008 0011 000f
0011 002b 0028 0000
ffe7 0005 ffed 0005
fff4 fff2 001c 002d
fff2 000a ffea 000b
fff5 0027 fff7 0013
0013 000a ffde 0005
000a fffb 0004 fffd
fff4 ffe3 0001 0017
fffc 0012 fff8 0039
000a 0008 0024 fffe
fff5 fff6 0016 fff6
ffec ffe6 ffef 000c
0008 fffc fff9 0013
ffee 0014 fff7 0024
0015 000b 0006 ffe3
0019 fffc 0002 0003
ffea ffe3 ffff 0013
ffeb ffe6 0018 ffec
0003 0010 000b ffed
0005 fff3 0026 fff7
000a 0004 ffe4 fff5
fffd fff1 ffe2 fffd
0005 0003 0008 ffe8
fff7 ffea ffec fffa
0009 ffff 0005 0009
000b fff5 0011 0002
fff2 000d ffe6 0002
000f ffde 0003 ffd5
0015 001d 0003 fff0
001a 001e fff9 fff2
ffff 0005 0010 0014
001f 0019 fff3 001d
fffe 000a fff4 0000
fffb 0019 ffdf 001b
0004 fff2 000f 000d
ffea fff6 ffe9 0002
0016 0014 001a 0035
002d 0002 000d 0016
ffe5 ffff 0019 0008
ffdd 002d fffc fff5
ffe9 ffed fffa ffe9
ffee 0006 ffe0 fff5
0002 fff3 ffd4 0000
0006 ffe9 ffe4 0002
