ffed 0019 ffdf 0002
0026 ffde 0019 ffea
0024 0027 fff4 0005
ffe2 0010 fff8 0007
ffec 000b 0017 ffef
fff3 0024 002b fffc
0018 fff4 0004 fffe
ffe3 ffe4 ffee 000a
ffe3 fff9 fff8 0018
fff3 ffda fff9 0011
0013 0009 fff3 002c
ffec ffe7 ffd7 fff1
fff7 0010 0012 0010
0009 fff4 ffe9 ffee
ffdf 0005 fff1 0018
fffc ffea fff8 ffe3
0048 000b fff4 fffb
ffe7 000f fffc 0008
0001 0014 fff1 0012
0000 0015 0002 fff4
fff8 ffee 0025 fff2
0013 0000 0021 ffef
fff6 0002 fff8 0012
0019 fff6 ffcd ffde
000e 0011 000e fff9
0014 0000 fff9 ffe0
000a 0017 ffdc 0001
0004 fffe 002f fff1
000f 0010 fff1 fff7
fff5 ffca ffe1 fff4
000e fffb 0004 0012
0000 fff0 ffee 000c
0000 ffff ffe3 0004
000d 0018 0029 0007
ffea ffe5 0030 002d
fffc ffda 0019 000e
fff4 ffe9 ffe9 ffd7
ffe2 0002 0017 0017
fff7 001e ffed ffe4
ffe4 0018 fff1 000a
000e fff2 ffe6 0017
ffe0 fff2 0022 0000
000f 001f 0017 ffe9
002d fff5 0009 ffe5
ffff fff5 0014 ffef
0008 0002 0013 000d
0009 000b 0009 fffa
0005 0002 ffe7 0000
