ffe9 ffea 000a fffc
ffe7 001c ffd8 ffdf
ffe0 fff3 fffe fffa
0000 fff5 ffe9 001b
0001 fff9 fffe 001e
0002 fffa fffc 000c
fff1 0000 ffd5 ffe2
ffe7 fffd fffa fffb
fff7 001a ffef fffe
fff0 fff3 000b fff4
0008 0014 ffc6 0015
0006 fff0 0001 0009
ffd6 0012 0012 0008
0006 002e ffcb 0015
000e ffee fff4 ffc0
0053 fffd ffef ffd3
fffd fffc fff7 fff9
0025 ffff ffd7 0000
0008 ffec fffd 000a
fff6 0035 ffec 0007
ffde ffed fffe 000e
ffdc fff8 fff4 000f
ffde fff2 ffdc 0013
0045 ffeb ffeb fff4
000b fff5 ffb2 0015
ffe0 ffe9 0007 001d
0023 001e 0006 0004
0034 fffd 000e fff7
fff0 0008 0011 0008
0009 fffd ffd8 ffe5
0008 001d 0016 0000
0019 ffe1 0004 002a
000e 000b fffd 0025
0024 ffe4 0006 ffca
0008 ffff ffee ffdd
ffe0 0000 0009 ffe3
0020 ffbf 0007 ffe6
0014 0006 fff1 0000
000b fff7 0000 fffb
0001 ffd7 0000 ffea
fff8 0029 ffd5 000e
ffbf fffa ffda ffff
fff4 0005 002b ffda
ffc3 fff1 0011 0018
0007 fff3 fffe 0003
fffe ffe2 0026 fff7
fff6 ffec fff2 0035
fff2 fffe ffd2 0004
