001d 000f fff1 0011
001e ffe4 001f 0012
ffd6 0007 fffd 0006
0007 ffff ffe8 0021
0027 fffe 0015 fff1
0010 ffe2 000a fffe
fff5 0009 002c ffdf
ffd5 fff4 ffca fff5
0041 ffd2 0002 000c
fffe ffe8 ffec 0009
001c ffdb fff4 000d
ffc0 fff6 0002 0006
0040 0013 fff5 fff6
0003 000a ffce fff0
ffda 000a ffd1 fffb
ffe0 fff7 fff2 000e
fffb ffea 0021 0005
0030 ffed 0021 ffed
fff4 0032 ffef ffe1
fff2 0005 0009 ffda
0021 ffe5 fff3 ffdf
ffcb fff7 fff4 0000
fffc ffff 0001 ffe7
fff2 002e 0003 ffef
0028 0002 fffd 000a
0004 fffd fffa fffa
0014 fffc fffe 0005
fff2 fff8 0012 0013
0020 ffd7 fffb ffe2
0016 0010 fffa 0010
000a ffee 0008 ffdc
0011 000b ffee 0003
0016 ffff ffcf 0037
fff4 0012 0010 fff7
000a 001f 0002 0009
ffda 0025 ffe1 000e
ffc3 0016 fffc fff5
0015 002d 0022 ffe5
0016 0021 0009 001c
003e ffe3 ffc6 ffe4
ffdb 0029 ffec fff5
0000 ffea 0009 ffe0
0014 fffc 0007 0003
ffee 0020 ffea 0014
ffd1 000c 000b ffed
ffd1 000d ffee ffd7
ffe9 ffdb ffe5 0019
001e 001c 0011 fffb
