0023 0033 fff6 ffd2
001c fff9 0004 0000
fff2 fff8 0014 0019
0004 0008 0000 0025
fff1 ffe2 0013 fff3
fffe 000b ffd4 ffe9
0017 fffe 0017 0003
ffff 0000 fff5 000a
ffeb 0000 0006 ffeb
0010 ffcd 0008 0002
ffe1 fff7 ffe8 ffed
fffe fff5 fffa 0015
ffdf ffd9 0018 ffe9
fffb ffe9 0011 0016
0021 fff5 0011 0014
0009 fffb 000d 0011
0034 0019 001f ffe1
0035 000b ffd8 ffd1
ffe3 0001 0000 ffcd
000a 0013 ffdf fffc
ffe7 ffef ffff 0026
ffdf 0003 fffb fff8
000a 0002 0028 0017
ffe9 0005 ffff fffa
ffec ffe0 fff9 ffe2
003d ffe7 000c 0001
ffe5 002a ffea 0010
ffd4 000b fff3 0005
ffdd 002f 0032 000b
ffe4 0021 0020 ffd3
0018 001d ffe2 ffec
ffe8 ffdb fff3 0000
ffc5 fff0 ffeb ffe8
fff3 ffff 000c 000f
001b 001a ffdd fff5
ffe1 fff9 ffe5 0007
fffc fffb fff2 ffd7
0007 fffd 001f 0008
0003 fff5 ffeb fff9
0008 ffdf 0009 ffed
0016 0007 ffef fff9
ffe7 ffe2 0022 000a
001c 0004 ffef 000b
ffd1 ffe8 001a 0004
ffd7 fff5 0018 0013
fffd 0015 ffee fffe
ffea ffe2 ffd7 0019
fff3 ffc7 fffa 0011
