fff7 000e ffd5 0012
000e 001f 0011 ffde
005b 0024 ffff 000d
ffee ffed fff3 0030
ffec 0007 fffe fff9
0008 fff6 0013 ffba
0019 ffd7 0001 0006
001a 0017 fffd 0017
ffe0 ffe0 0017 002a
0026 fff9 ffd3 0002
ffe0 ffe9 ffc9 0016
fff3 ffdc ffe7 ffdd
0000 0017 fffb 0005
0018 0016 0004 fff9
fffe ffe5 0033 001e
0001 000c fff1 fffa
fff5 0013 003e ffe9
001c 0001 fff1 ffc9
fff2 ffe7 ffeb ffdf
fff2 0021 ffec fff4
ffdc ffe7 fff3 0004
fffc ffd5 ffea 0001
0031 001f 0024 0013
fffc ffee fff8 ffe1
0006 fff5 0008 ffff
fffd ffc5 ffce 000b
ffb3 001d 002d 0038
0005 0009 000c ffed
001f ffe7 0008 0013
ffe3 fffc 0000 fff7
0043 0006 ffea fff9
0006 0006 ffe7 0019
fff6 0028 0026 ffdb
fffc ffe6 0006 fff5
ffca ffdf ffe1 fff9
ffde 0015 0005 fff9
fff0 0010 fffe 0025
0036 fff2 ffe2 0005
ffe8 000d fff1 0000
0001 ffd8 0002 0000
fffc 0022 002f ffa6
0027 ffd9 0011 fff9
0017 ffe3 ffdf 002c
000b 0003 ffd2 fff8
fffc ffe4 fff7 0041
fff0 fff7 0005 ffe9
ffdc ffc5 fffa 0000
ffd6 0014 ffcc ffec
