ffeb 001a fff3 0006
ffd7 001c 0007 ffef
0036 0016 ffd3 fff8
ffdf 0015 0049 0013
ffdd fff0 0009 fffb
fffe 000c 001e fff4
fff8 ffe9 0008 0014
fffd ffde ffff 001a
ffe5 ffeb 000a fffc
0019 ffdb ffd3 001d
ffe2 ffda 0028 fffb
0023 0004 0006 ffe7
fffd ffe8 000e ffe9
0001 0020 ffc0 0009
fff0 ffef 0005 0020
0010 000f ffee fff0
fff0 0031 0002 0002
fff9 fff5 fff9 002c
ffde fffd ffff 0014
000b fffa fffd ffef
ffe6 ffd8 0001 0002
0011 ffc7 001c 0022
ffce 0006 0000 ffee
ffd3 001f fff8 fffe
fffd 0002 fffb ffe4
001a fffa 003b fffe
ffdb fff3 001e 002e
ffd1 0018 001e 000d
0000 ffdf 0023 0007
ffe3 ffe3 0019 fff6
fff5 0019 ffd4 ffdc
001e 0006 ffda fffc
fffb 0048 000c fff8
fff1 fffb 0030 0002
0003 0019 fff9 fffd
0014 ffe9 ffe5 ffef
000e fff5 ffd9 ffec
fffd 0000 0024 0028
ffee 0034 fff6 0012
fffc 0007 ffe4 fff4
fff6 000c 0013 ffe4
fff1 ffed 0000 0033
000f fffe ffc6 002d
001b 0000 0026 fffe
003c fffb 0001 ffe3
0010 ffd1 ffd8 fffe
fff2 fff0 fff2 0030
0019 0037 fff0 fff7
