ffe4 0025 fffd 000e
fffc ffd2 0025 fffc
0023 0018 ffdc 0002
0006 0008 0000 000f
000d ffd3 0018 ffd2
ffd3 ffea 0012 ffef
0003 001e 0004 0010
fff9 000d fffa 0008
000a 000d ffe9 002c
fff4 fff2 ffef fff3
fff9 0004 ffe0 0004
000b ffdb ffe0 0006
0029 0017 0028 0004
0000 000f ffd7 0015
000e 0001 ffff ffed
ffcb 0000 fff3 ffdd
fff8 fff3 fff7 0006
fff2 0016 000d ffed
fff0 0022 0009 fffc
0006 0003 ffff fff2
0024 ffd0 fff7 ffe1
000c fff7 0000 fffb
0032 fffb 0006 0009
ffff ffed ffdb 0011
ffe9 002f 0023 ffe9
0037 ffff 000d ffeb
0003 0010 0016 ffd4
0002 0011 0019 ffed
0024 ffd4 0007 ffef
fff0 000a ffe6 ffee
fff8 fff4 0014 0036
fff4 ffef 0018 0015
000b ffeb fff7 0005
0014 ffe6 fff4 fff6
fff3 0009 fff4 fff8
ffcb 0001 ffe9 fffa
0000 ffdf ffeb 002f
0032 ffe7 ffff 0007
ffe5 fffa ffdc 001c
0003 ffe8 fff3 000f
0021 0014 000a 0021
000c ffc3 0007 fffb
ffe9 fffb ffef fff6
ffe3 ffe5 0017 0003
0033 fff1 0004 0013
0010 ffc7 fff1 ffef
fff9 fff4 000d ffd6
fffa 0002 fff3 0034
