0006 ffee 0000 000b
fffc 000f ffe8 ffeb
fff8 001f ffea ffe3
0004 ffd7 fff0 002e
0018 0035 0005 001e
0001 0017 0018 ffe5
0081 0010 fff7 ffff
0004 ffec 0013 fff8
fffc 0008 0010 0000
0004 0004 fffb ffe6
000d ffff fff2 fffa
fffa 0010 fff9 ffec
fff6 0002 fff9 ffe3
0002 0018 fffc 000e
ffc8 fffb ffd8 ffe5
0002 0004 000d fffa
fff4 0008 ffe6 000c
ffdf fffa 0015 ffdc
ffe6 fff5 0006 fff2
ffe6 0000 000b ffe5
ffe5 ffef 0010 fff8
ffea ffcf fff2 001d
000f ffe8 0002 001e
ffe9 0006 000f fff4
002a 0018 fff5 ffff
fffc fff0 fff7 001a
005f fff7 000b ffde
fff8 000d 0015 fff5
0003 fff7 0009 001f
0011 ffdb 0005 0009
ff9b 000d 0013 001c
ffe2 0010 fff0 001b
0015 0008 fff6 ffd5
000a fff1 fffd 0001
0017 fff7 0011 fff5
ffee fffc fff9 fff6
ffc4 ffcd 0004 ffee
0005 0014 ffea 0012
0008 ffda 0003 fffd
0005 ffda 0008 ffb7
0015 ffd9 000d ffec
0019 0000 ffe3 001e
0013 fff5 fff7 ffe7
fff5 ffec ffe9 0029
ffde 0022 fff4 fff2
0028 0000 0010 fff7
ffe0 ffed 0009 0017
0005 ffe6 ffee 0000
