fff3 ffd4 000c ffe4
ffeb ffd7 0016 0014
ffe8 0012 0010 0008
ffeb 001b fff8 000d
0029 003b 000d ffd4
002a 0043 0004 fff5
000c fff4 0010 fff6
fffe fff9 ffe6 fff7
001b 0024 fff6 0013
fffc 0004 000f 001e
fffb 0015 ffdd fffd
fff8 fff3 ffdd ffe7
0009 0003 0018 0012
0012 002a 0020 000a
ffdf fffd ffef ffec
000e ffe3 fff5 0015
0030 fff5 001a ffeb
000b 0007 0009 0000
fffd 000c 0015 ffd9
fffb 0008 ffe2 ffea
0017 ffeb fff7 000d
fff5 fff0 0015 fffd
ffe3 0001 0017 000b
ffe3 0008 ffdb 0006
001b 000b 0001 fff6
ffee ffe6 fff9 0000
0028 0017 0004 0004
fffd fff6 0004 0007
0009 ffcd fffc 0013
0013 ffe0 000f ffe1
0012 000a fff3 ffe0
001a ffe8 0017 0003
0001 000d 0011 0022
ffe4 fff8 0002 000d
000e 0017 0000 003e
fff2 fff5 fffd ffe1
ffca 0003 001b ffef
0012 0001 0006 0000
000b 000b 0006 fffe
ffd5 ffdf 000d 0018
ffe9 0004 fff5 0015
fffe ffef 000a ffe8
0020 0019 fffd 000d
0002 fff4 0006 ffe2
0009 fff6 fff5 ffe6
fff5 ffef ffdd fffa
0025 0002 0016 ffef
001a fff1 0017 000b
