ffbb ffa8 fffd 0031
fff2 0025 ffe9 fffc
fff0 fffb ffe5 0027
000d ffe0 001b 001c
fff7 fff9 fffc 001c
002e fff8 0006 ffd3
ffd1 fffd ffd9 0020
0001 000e 001a fffe
fffd ffe7 0026 0045
002c ffe0 0001 fff5
000a ffcf ffe4 fff2
0005 0009 ffff 0030
0028 000d fff7 fff4
ffe1 000a ffff 000d
0027 0004 fff1 0004
0017 fff0 fffb fffd
fff6 fff8 001e 0015
fffe 0009 fff4 ffda
0017 ffe9 0020 fff5
0007 fff4 000c ffe6
fff0 ffde 000d fff6
ffe5 0033 ffdb 000a
002c 0007 000e 0003
002b fff4 000d fff0
0002 fffe 002c ffe9
ffc6 ffed ffe9 0002
0010 001a 001b ffd6
001e fffc 0015 fff0
fffa 000d ffd2 000e
ffec 0024 001d ffe5
ffd9 fff8 000a 001c
ffed ffef 0016 ffd9
0012 fff0 000f ffd0
0004 ffcd ffec 001b
0009 ffdf 0006 0013
fff9 fff1 0009 0005
ffec 000f 0031 ffe3
0039 ffed ffea 0028
ffca ffe4 fff1 000b
ffc8 fff2 fff5 0010
0010 0011 fff2 ffeb
ffed fff6 ffe9 fffb
fff4 ffe8 ffca fff1
fff2 ffd1 ffe3 0001
0015 ffff ffe9 0014
0016 ffeb 0011 fffe
0029 ffee 0021 ffe6
ffc4 000d fff0 0010
