ffd7 000a 001e ffdb
ffce ffec 0002 fffc
0018 ffe6 0007 000d
000a fff7 0002 0015
ffe0 fff4 fff5 0005
0017 0013 0031 ffe9
ffe0 0008 002f ffc7
0033 ffee 000e fff8
001a 0025 fff3 002c
ffc3 fff8 fffc 0012
001d ffd2 0003 fffb
0002 000c 000a 0006
fff1 0017 002e fffa
0005 ffeb 0019 001a
0024 ffcc 0018 ffec
ffe7 fff1 fff0 000b
ffe1 ffdf 000a 0003
0003 0007 fff0 ffea
fff7 0010 ffe5 fffb
001c 0018 ffd8 ffd9
ffff fff9 0024 0009
fffe 0027 ffd0 0004
fffb ffe5 0004 0033
fff5 0028 fff2 fffb
0014 fffb fffb 000f
0036 ffdb ffe4 0011
0031 0024 fff3 0018
001e 0028 ffda 001d
ffe0 0008 ffee 000d
000b 000b ffde fff1
0023 ffe6 fff9 0036
fffa fff0 000f 000f
0038 fff2 0014 001a
0006 ffe3 fffb fffb
002c ffee 0003 fff0
ffda ffed ffd3 0001
0007 ffea 0027 ffeb
000c ffec ffea fff4
ffff ffde ffde ffff
ffd8 ffe6 0007 ffc7
0033 fff6 ffdc fff7
ffe1 0003 001f 001b
0016 fff4 fffd 0024
ffea fff5 000b fffb
ffd0 0005 0004 fffb
0015 ffda 000a 0008
ffff ffe9 0004 ffd4
000e 0002 ffee ffce
