2a 03 11 1e
11 f6 f2 0c
d7 14 f6 0c
f4 d4 f0 1b
f4 f9 0c 2e
dd e9 08 f1
e9 00 f3 f7
29 22 0d e7
10 f2 f7 fe
d9 dd f4 24
00 14 f2 20
f8 18 ff e8
df ed 0f 01
f9 16 0f d4
e2 d0 fe 30
1a 06 f6 de
ff f6 03 03
e4 01 01 f5
f0 07 ff 14
df 13 0d f0
03 01 28 eb
17 0d f4 fc
26 08 23 06
01 0e ee fe
18 02 09 fc
0c fc fd fa
f2 10 ee f0
f2 f6 1a ef
ea 17 f8 f9
1d 19 0b 20
06 f4 d5 04
fc f6 e8 fe
2c 0c 15 03
07 f8 21 0a
29 dd 1f 08
11 f3 03 ca
19 e2 0d c8
27 0f 33 f8
f5 d3 f4 ff
e3 ea 0f f3
f7 2b f9 d7
fa f5 05 ed
03 0f f0 ec
13 ea df f7
36 04 fd f7
e7 30 03 19
ef f4 e2 02
0d 01 db 0e
