f6 0f ff e3
fa ff f2 fa
fa 04 f0 02
00 06 03 f3
16 e0 f5 fa
1a e8 07 05
d7 f9 08 e7
04 e8 fb 07
f1 07 22 f9
0a ef 01 0f
1d d2 09 13
f4 e2 03 fc
4e f6 1d 0d
11 ff 03 f2
f8 f3 dc 04
07 f8 0a 09
f9 fe f7 fc
d4 f6 f2 07
20 f2 00 06
08 f3 09 02
d9 11 f5 fa
c6 f6 0b 0e
0c 00 f4 18
10 e6 f4 fc
0f e8 08 f6
fd fa 1f fc
fd eb fc fd
e2 e7 e9 13
15 f2 03 df
fe ff 03 e9
00 ee fb ff
e7 fc fc f6
e3 03 eb 03
04 01 fb 02
cf 14 09 ed
ec 00 f7 13
1b ce 10 f7
ee f6 fa fa
1b fe 10 eb
f1 05 f0 ef
f2 0c f4 06
f3 f7 0b c9
ce 08 f1 09
00 eb e6 02
07 f9 19 ec
07 08 fe e4
0c f2 f6 e4
f8 f2 e7 06
