0045 fff2 0002 0004
0035 fff3 000f 0007
0009 ffcc 000b 000a
fff7 0000 0031 0003
fff8 002a fffe 000e
0004 fff4 0005 0028
000b fff8 0010 0019
0004 fff8 fffb fff5
0000 0005 0010 0007
0007 fff8 0018 ffff
fff1 0006 0021 fffd
fffe fffe 000a fff5

001c fffd 0015 0003
000c 0039 ffe9 000f
0089 0005 ffd9 ff46
fff5 0008 ffef 000c
fffc fff1 0001 fffc
000b fffb fffa 0024
fff5 fff4 0000 000c
0016 000d ffff ffbf
0006 fff4 ffe2 fff9
0005 ffff fffc 0029
ffd3 ffed fffc 0003
ffcf 001d fff9 ffbe


0077 00db 0071 0000
004b 006e 0036 0000
ff66 fec9 ff1c 0000

ffdb ffab ffc0 0000
ffa3 ff0f ff32 0000
ffc5 ff33 ff62 0000


fff9 fff3 0001 fffb
000a fffd 0014 ff98
fff9 0002 fff7 fff1
0008 0003 fffa fff0
0000 0004 0007 fffa
0002 fffc fff0 ffff
000f 0001 fff7 0000
fff6 0009 fffe 0018
fffa 0010 0000 0002
fff9 0002 0005 000c
0006 0000 fff7 ffee
0005 ffd8 0003 ffff

ff9e 0048 fffd 000e
000f 002b ffe7 fff9
ffe7 fff5 fff8 000e
001d 0004 fff2 000c
0000 0033 ffe9 fffe
fff5 ffed fffb 0023
0026 fffd fffe ffed
0000 0017 0032 fffe
fffa 000d fff3 000e
fffa fffe 006b fff5
ffcf 0003 fffa 0006
0014 0005 fffe 004c
