fffb ffc5 ffd3 0008
ffdc ffd8 fff4 0023
fff8 000d fff9 ffe0
0003 0007 fff0 fff1
0013 ffe4 ffde ffc9
0018 fffb 0003 ffe8
fff4 ffe8 000d ffff
0014 0006 fff2 fff9
fff3 0018 ffcf ffdf
ffdc ffea 003e fff4
fffd ffe5 ffdf 0010
0006 0018 ffed ffe6
fff1 ffec ffde 0022
0003 ffe7 ffee ffe7
fff3 0011 fff5 ffe5
0012 000b 0004 0030
fff5 fff3 000b 000f
000c ffea 0018 001f
ffec ffec ffe1 fff1
fff8 ffd5 000f 0009
000e fff3 fffd ffe4
fff8 ffda ffef fff3
fffb ffe6 0024 003f
fffe 0021 0002 0011

fff3 fff5 ffff fffd
0022 0018 001a 000d
0008 0001 0018 ffff
0005 0001 001b 0019
fff3 0004 ffed 0010
fffe ffff fff9 fff2
fff1 000d 001e fffe
ffed 0023 002b 0005
0000 ffdc fff7 0006
ffec fffb 0004 ffef
fffd 0013 0012 0001
ffe7 fff3 0024 000c
001a ffee fffd 000b
0014 0000 0014 001b
ffef ffff 0029 000d
ffff fffc fffb fffb
001f 0008 0004 0009
0015 fff7 0002 fffd
ffe7 fff5 002a 0017
ffff ffe6 0002 fff5
000c ffda 003a 0018
0006 000a fff9 0003
fffe 0018 0007 fff7
ffe6 fffd 0000 fff3

0001 0003 fffd 001e
0019 ffe5 fff5 fffb
0005 0009 0017 fff6
ffde ffe8 fffc fff6
ffe4 0003 0005 0011
0001 0006 fffb 000a
0004 0017 fff9 000c
0000 fff4 fff7 0010
0009 0009 000b 0026
0013 002b 0018 000f
0026 0002 ffde 000f
fffe 000f 000b 0014
0025 ffe7 000e 0010
0001 fff7 fff5 ffe3
000f 0003 0012 fffc
fffb ffff 000e fff1
fff1 ffee 0000 0001
ffe4 ffee 001c fffc
0003 0000 ffff 001c
fff2 0003 0017 0001
fff9 ffe9 0012 ffee
0019 ffed 0008 fff3
ffe7 ffff ffee 0006
fffc fffe 001a 0015

ffe4 0004 0012 fffe
001b 0012 001d 0006
ffee 0001 fffe 0000
000c 001a 0023 fff2
0014 000b fff8 0003
0010 fffc 000f 000a
0001 001e fffe 0000
ffff fff6 001b 0004
