0018 001f ffcd ffe7
ffef 0018 0006 fffa
001c ffdc 0001 ffb7
fff2 0000 000a ffe8
ffe9 fffd ffe6 ffcf
fffc 000d 000a ffbf
000d 0000 fff1 0039
000c ffea fff4 fff3
0004 001b ffee ffe4
0044 ffea 0005 0001
0013 ffd3 ffda ffd3
ffe5 ffc9 fff6 0074
ffe3 fff5 ffb9 fff0
fff8 ffdd fff9 ffee
fffd ffbf fff0 ffed
0018 ffd5 ffe6 fff1
fffa ffb3 fffb 0014
002a ffd5 ffef 0019
fff6 fff0 0016 0001
0007 ffe0 0010 0006
ffec 0003 ffca 004a
0009 fffa 0007 0057
0010 ffdb ffe8 ffd8
0017 ffbe 0012 002c

ffe1 ffe0 ffdd 0043
0012 ffe2 0001 0034
0006 000f 0016 0001
ffff 0017 ffdb 0039
0004 ffda 0017 ffe3
0026 0011 fff8 ffe2
002d 001d 0008 000a
0002 fff4 fff2 fff3
000a 004a ffdd ffc8
fffc 0022 0005 fff8
ffec fff2 ffe5 ffe2
0042 000a 0009 ffed
ffda ffea ffe5 0039
fffc fff7 ffe1 fffa
ffdc 0008 0036 ffe2
fff5 0030 fff5 ffe1
fff0 fff8 000c 0000
0024 0011 fff2 0028
ffe4 fff4 ffd8 ffc2
0003 fff0 0019 fffa
ffe1 0020 fff7 002c
0000 fff1 ffe5 fffe
0017 0003 fff9 ffe5
ffea 0001 0008 fffc

fffb 0003 fff8 0002
fffb ffd9 ffeb fff7
0011 000b 0007 fff8
ffea 0023 fffb ffdf
0087 0026 000b fffc
0025 00a7 ffe3 ffff
0006 000e 0017 0002
0002 fff8 fff6 ffe3
0021 fff3 ffd8 0021
0005 fff7 000f 0011
fff3 fff7 0002 fffc
0008 fff3 ffee 000b
ffec fffd 0031 0025
000d ffed ffe3 0011
ffe2 0003 0019 0001
ffea 0008 fffd fffb
0012 0001 000a 0014
ffeb 0014 ffdf fffd
ffed 0023 ffe0 001c
ffff ffea fffb 0007
0005 fff8 0011 0016
