fff0 ffe1 fff5 fff7
0004 0007 000f 000c
ffeb ffd4 0023 0002
0002 fffa 0077 fff5
ffed fffb ffdf 0007
fff3 0006 ff9f 002b
0005 000d 0095 0010
ffe8 ffd2 0013 ffd0
ffec 0001 0012 0013
001b 0006 0007 ffec
000d 0018 0002 0003
0010 0028 fff7 001e

fff3 0020 0001 0006
001a 001a ffeb fff4
fffe ffd3 ffef 0014
ffe0 ffeb 0007 0007
002c 001b 000a 0000
fff4 0016 ffd0 0018
0006 000a ffd2 001a
000c ffd2 ffe7 ff1b
0006 0003 000c fffd
fff3 0013 0010 000f
0010 001b ffe9 0027
0013 0047 fffd ffd8


0048 ffde 001f 0000
00b9 fd70 0071 0000
0007 007e 000a 0000

004c ffc3 ff98 0000
0136 0080 fe9f 0000
004a ffe3 ffaf 0000


fffb 0000 0006 ffef
003c 0018 fff6 ffe9
fff4 fffa ffdd 002c
fff8 0012 0005 001a
fffb 001e 0011 ff75
0016 0006 ffe3 ffe9
fff9 0023 0027 ffd6
0001 ffec 0036 0007
0013 0007 fffa ffe1
0014 000e 0042 0021
003c 0022 ffe7 ffe9
fffe fffc fff8 fff3

000c 0000 0015 fff0
0025 fff5 000d fff5
ffff fff0 fff0 ffb3
0010 fffb 0015 0017
0011 000e 001f 000e
000a fff7 ffb3 ffce
ffd5 ff95 fff9 0009
fff7 ffd7 fff1 ffe2
000e ffc0 ffec 000a
0018 ffdc ffbb fff2
ffa4 fff1 001b ffe2
0030 0007 ffb4 0005
